# azimuth_deg phase_function
3.075000000000000000e+02 5.803415112643726947e-04
3.085000000000000000e+02 1.377634730374164337e-03
3.095000000000000000e+02 6.049489352099420491e-04
3.105000000000000000e+02 5.948210471018017774e-04
3.115000000000000000e+02 5.902700209146951585e-04
3.125000000000000000e+02 5.898425004333048569e-04
3.135000000000000000e+02 2.595974081773553882e-04
3.145000000000000000e+02 1.439120099147773871e-03
3.155000000000000000e+02 9.683867032845354340e-04
3.165000000000000000e+02 1.385947617459341906e-03
3.175000000000000000e+02 7.645820298343866759e-04
3.185000000000000000e+02 1.894802638966403560e-03
3.195000000000000000e+02 9.994247136778933172e-04
3.205000000000000000e+02 1.467711520069246798e-03
3.215000000000000000e+02 5.452547664483444693e-04
3.225000000000000000e+02 3.398210285748844758e-03
3.235000000000000000e+02 5.876894546523773414e-04
3.245000000000000000e+02 1.781979312745313529e-03
3.255000000000000000e+02 3.445422417919190641e-03
3.265000000000000000e+02 1.623918465364058289e-03
3.275000000000000000e+02 4.300305777502107761e-03
3.285000000000000000e+02 1.552492335106605593e-03
3.295000000000000000e+02 5.431732701764438107e-03
3.305000000000000000e+02 6.001365876787114959e-03
3.315000000000000000e+02 6.777375496800453619e-03
3.325000000000000000e+02 7.516115559689654294e-03
3.335000000000000000e+02 1.443696639749272176e-02
3.345000000000000000e+02 1.651436860641462834e-02
3.355000000000000000e+02 1.864398448536803976e-02
3.365000000000000000e+02 2.968588583752361509e-02
3.375000000000000000e+02 7.712726639937313167e-02
3.385000000000000000e+02 5.442385317989990173e-02
3.395000000000000000e+02 1.707112281032980899e-04
3.405000000000000000e+02 3.414224562065967220e-04
3.415000000000000000e+02 2.566388497522419923e-04
3.425000000000000000e+02 2.566388497522422091e-04
3.435000000000000000e+02 1.698668739109585892e-04
3.445000000000000000e+02 3.397337478219172868e-04
3.455000000000000000e+02 8.332495081892889806e-05
3.465000000000000000e+02 4.166247540946447885e-04
3.475000000000000000e+02 3.128279475367034016e-04
3.485000000000000000e+02 1.564139737683517550e-04
