# scattering_angle_deg phase_function
1.165000000000000000e+02 4.239579233545902499e-04
1.175000000000000000e+02 1.984400593158087251e-04
1.185000000000000000e+02 3.908176548516523511e-04
1.195000000000000000e+02 3.295838144527691075e-04
1.205000000000000000e+02 1.137730564560289568e-03
1.215000000000000000e+02 1.298012799671830354e-04
1.225000000000000000e+02 4.702673514252961057e-04
1.235000000000000000e+02 1.867015946084052652e-04
1.245000000000000000e+02 4.276549288011683770e-04
1.255000000000000000e+02 3.149852566880928127e-04
1.265000000000000000e+02 3.142286065487102389e-04
1.275000000000000000e+02 2.001278979159822665e-04
1.285000000000000000e+02 4.436759948601068761e-04
1.295000000000000000e+02 1.553628049095461677e-04
1.305000000000000000e+02 5.047812972173562401e-04
1.315000000000000000e+02 3.089270466041259050e-04
1.325000000000000000e+02 3.673874009616857265e-04
1.335000000000000000e+02 2.431448670625035709e-04
1.345000000000000000e+02 4.434182901078248637e-04
1.355000000000000000e+02 1.234957414472122436e-04
1.365000000000000000e+02 5.794310594858839269e-04
1.375000000000000000e+02 2.056128203269271372e-04
1.385000000000000000e+02 5.240279792024887763e-04
1.395000000000000000e+02 1.651486981242073946e-04
1.405000000000000000e+02 6.032941616471336000e-04
1.415000000000000000e+02 2.646470397611360771e-04
1.425000000000000000e+02 1.249597829016513067e-03
1.435000000000000000e+02 8.819429598951245746e-04
1.445000000000000000e+02 1.182481268360768270e-03
1.455000000000000000e+02 1.111273377249736519e-03
1.465000000000000000e+02 1.774924455016677755e-03
1.475000000000000000e+02 1.154752855328814061e-03
1.485000000000000000e+02 1.676578466327323944e-03
1.495000000000000000e+02 1.622037995078064003e-03
1.505000000000000000e+02 2.166626427631058224e-03
1.515000000000000000e+02 1.371856226099532399e-03
1.525000000000000000e+02 2.616739628325170409e-03
1.535000000000000000e+02 1.159390159999171624e-03
1.545000000000000000e+02 5.963619204119426087e-03
1.555000000000000000e+02 2.128427798316723935e-03
1.565000000000000000e+02 2.485543448360020766e-03
1.575000000000000000e+02 2.836241424150284969e-03
1.585000000000000000e+02 2.302327968550829228e-03
1.595000000000000000e+02 8.118919797028813440e-04
1.605000000000000000e+02 1.535879575090375038e-03
1.615000000000000000e+02 4.100210908992174574e-04
1.625000000000000000e+02 7.906373452747247855e-04
1.635000000000000000e+02 1.551531257146415742e-04
1.645000000000000000e+02 6.625117101224680576e-04
1.655000000000000000e+02 2.455415371411233004e-04
1.665000000000000000e+02 5.150812831342038234e-04
1.675000000000000000e+02 4.018135039267754674e-04
1.685000000000000000e+02 6.344488557603663453e-04
1.695000000000000000e+02 8.155268764615729261e-04
1.705000000000000000e+02 1.662546360788022494e-03
1.715000000000000000e+02 1.376805084398730723e-04
1.725000000000000000e+02 7.358470707831383335e-04
1.735000000000000000e+02 1.221825374180715280e-04
1.745000000000000000e+02 7.059905861431326011e-04
1.755000000000000000e+02 3.845002534652279948e-04
1.765000000000000000e+02 5.020263712083279997e-04
1.775000000000000000e+02 9.547121681800720041e-05
1.785000000000000000e+02 6.969140901297278751e-04
1.795000000000000000e+02 4.579975694820469408e-04
