# theta_deg   phase_function   DoLP
7.83750000e+01 3.05534002e-03 8.62513142e-01
7.86250000e+01 3.00468541e-03 8.73025704e-01
7.88750000e+01 2.90337237e-03 9.07388130e-01
7.91250000e+01 2.90854576e-03 8.92735982e-01
7.93750000e+01 2.85876672e-03 9.24006009e-01
7.96250000e+01 2.81950761e-03 9.31026563e-01
7.98750000e+01 2.75430908e-03 9.52046868e-01
8.01250000e+01 2.74683380e-03 9.43198596e-01
8.03750000e+01 2.72859082e-03 9.60318508e-01
8.06250000e+01 2.66225041e-03 9.63159600e-01
8.08750000e+01 2.66068591e-03 9.71865738e-01
8.11250000e+01 2.64578498e-03 9.67658767e-01
8.13750000e+01 2.61372707e-03 9.72739501e-01
8.16250000e+01 2.58919360e-03 9.74038334e-01
8.18750000e+01 2.60790839e-03 9.71111810e-01
8.21250000e+01 2.55130124e-03 9.70954692e-01
8.23750000e+01 2.56716572e-03 9.69336594e-01
8.26250000e+01 2.54823810e-03 9.67766803e-01
8.28750000e+01 2.52977192e-03 9.66084384e-01
8.31250000e+01 2.54630348e-03 9.64356086e-01
8.33750000e+01 2.49354263e-03 9.62581432e-01
8.36250000e+01 2.50962310e-03 9.60793087e-01
8.38750000e+01 2.49190730e-03 9.58934298e-01
8.41250000e+01 2.47509356e-03 9.57022797e-01
8.43750000e+01 2.45740646e-03 9.55105322e-01
8.46250000e+01 2.47324443e-03 9.53139460e-01
8.48750000e+01 2.42440901e-03 9.51093253e-01
8.51250000e+01 2.43979786e-03 9.49069292e-01
8.53750000e+01 2.42343730e-03 9.46967820e-01
8.56250000e+01 2.40785763e-03 9.44821509e-01
8.58750000e+01 2.42296448e-03 9.42658862e-01
8.61250000e+01 2.37566125e-03 9.40431627e-01
8.63750000e+01 2.39204448e-03 9.38184068e-01
8.66250000e+01 2.34511775e-03 9.35902771e-01
8.68750000e+01 2.36100585e-03 9.33597903e-01
8.71250000e+01 2.37716354e-03 9.31223000e-01
8.73750000e+01 2.33124761e-03 9.28818323e-01
8.76250000e+01 2.34748773e-03 9.26382734e-01
8.78750000e+01 2.30243465e-03 9.23918834e-01
8.81250000e+01 2.31882337e-03 9.21426724e-01
8.83750000e+01 2.30412638e-03 9.18887765e-01
8.86250000e+01 2.29030115e-03 9.16322148e-01
8.88750000e+01 2.30648658e-03 9.13712174e-01
8.91250000e+01 2.26318664e-03 9.11077279e-01
8.93750000e+01 2.27948849e-03 9.08415286e-01
8.96250000e+01 2.26557714e-03 9.05702181e-01
8.98750000e+01 2.25323928e-03 9.02983027e-01
9.01250000e+01 2.23976735e-03 9.00218705e-01
9.03750000e+01 2.22789209e-03 8.97456126e-01
9.06250000e+01 2.24343879e-03 8.94623284e-01
9.08750000e+01 2.23026506e-03 8.91747759e-01
9.11250000e+01 2.21872926e-03 8.88885231e-01
9.13750000e+01 2.20597163e-03 8.85963941e-01
9.16250000e+01 2.19487629e-03 8.83064291e-01
9.18750000e+01 2.18326793e-03 8.80125058e-01
9.21250000e+01 2.19878289e-03 8.77118526e-01
9.23750000e+01 2.18650427e-03 8.74072575e-01
9.26250000e+01 2.14933096e-03 8.71118967e-01
9.28750000e+01 2.16499147e-03 8.68053492e-01
9.31250000e+01 2.18039683e-03 8.64928240e-01
9.33750000e+01 2.14240551e-03 8.61824940e-01
9.36250000e+01 2.15870163e-03 8.58700709e-01
9.38750000e+01 2.12218277e-03 8.55610499e-01
9.41250000e+01 2.13776297e-03 8.52415333e-01
9.43750000e+01 2.12753424e-03 8.49234745e-01
9.46250000e+01 2.11747100e-03 8.46040401e-01
9.48750000e+01 2.13293345e-03 8.42759118e-01
9.51250000e+01 2.09775740e-03 8.39575803e-01
9.53750000e+01 2.11331085e-03 8.36267851e-01
9.56250000e+01 2.10369984e-03 8.32986502e-01
9.58750000e+01 2.09426712e-03 8.29696112e-01
9.61250000e+01 2.08501049e-03 8.26397376e-01
